Supercharger,Street Address,City,State,city_state,Zip,Country,Stalls,GPS,Elev,Status,Open Date,Tesla,Thread
"Sheboygan, WI","595 Taylor Dr, by Festival Foods",Sheboygan,WI,Sheboygan_WI,53081,USA,8,"43.749912, -87.747073",200,Open,07-Oct-15,SC,thread
"Gillette, WY","Hampton Inn, 211 Decker Ct",Gillette,WY,Gillette_WY,82718,USA,4,"44.29301, -105.526628","1,400",Open,24-Sep-15,SC,thread
"Tallahassee, FL",1400 Village Square Blvd,Tallahassee,FL,Tallahassee_FL,32309,USA,6,"30.510935, -84.247838",63,Open,23-Sep-15,SC,thread
"Tinton Falls, NJ",1 Premium Outlets Blvd,Tinton Falls,NJ,Tinton Falls_NJ,7753,USA,8,"40.226272, -74.093538",33,Open,19-Sep-15,SC,thread
"Las Vegas, NM",2500 N Grand Ave,Las Vegas,NM,Las Vegas_NM,87701,USA,6,"35.621267, -105.204598","1,970",Open,14-Sep-15,SC,thread
"Columbia, MO",915 Port Way,Columbia,MO,Columbia_MO,65201,USA,8,"38.958728, -92.252464",254,Open,11-Sep-15,SC,thread
Albuquerque NM,2600 Menaul Blvd NE,Albuquerque,NM,Albuquerque_NM,87107,USA,6,"35.108962, -106.612794","1,558",Open,04-Sep-15,SC,thread
"Kennewick, WA",2811 W 10th Ave,Kennewick,WA,Kennewick_WA,99336,USA,8,"46.198085, -119.162734",167,Open,04-Sep-15,SC,thread
"Strasburg, VA",119 Hite Ln,Strasburg,VA,Strasburg_VA,22657,USA,6,"39.00496, -78.337836",204,Open,02-Sep-15,SC,thread
"Fountain Valley, CA",17900 Newhope St,Fountain Valley,CA,Fountain Valley_CA,92708,USA,8,"33.70278, -117.934127",11,Open,28-Aug-15,SC,thread
"Ann Arbor, MI",3145 Saline Road,Ann Arbor,MI,Ann Arbor_MI,48108,USA,8,"42.240687, -83.766265",282,Open,20-Aug-15,SC,thread
"Seaside, CA",1901 Del Monte Blvd,Seaside,CA,Seaside_CA,93955,USA,6,"36.616759, -121.844014",10,Open,13-Aug-15,SC,thread
"Dedham, MA",840 Providence Highway,Dedham,MA,Dedham_MA,,USA,8,"42.236034, -71.178634",29,Open,08-Aug-15,SC,thread
"Boise, ID",1426 S Entertainment Ave,Boise,ID,Boise_ID,83709,USA,8,"43.591886, -116.279015",838,Open,07-Aug-15,SC,thread
"Oklahoma City, OK",7624 West Reno Ave #380,Oklahoma City,OK,Oklahoma City_OK,,USA,8,"35.461704, -97.651445",372,Open,31-Jul-15,SC,thread
"Trinidad, CO",9960 Santa Fe Trail,Trinidad,CO,Trinidad_CO,81082,USA,6,"37.134228, -104.519962","1,933",Open,30-Jul-15,SC,thread
"Duluth, MN",200 W 1st St,Duluth,MN,Duluth_MN,55802,USA,4,"46.784467, -92.10232",200,Open,17-Jul-15,SC,thread
"West Lebanon, NH",285 N Plainfield Rd #1,West Lebanon,NH,West Lebanon_NH,3784,USA,8,"43.624616, -72.324692",104,Open,17-Jul-15,SC,thread
"Sheridan, WY",612 North Main St,Sheridan,WY,Sheridan_WY,82801,USA,4,"44.804565, -106.956363","1,136",Open,15-Jul-15,SC,thread
"San Mateo, CA",1200 Park Pl,San Mateo,CA,San Mateo_CA,94403,USA,8,"37.544632, -122.290188",3,Open,10-Jul-15,SC,thread
"Cranbury, NJ",Molly Pitcher Service Area,Cranbury,NJ,Cranbury_NJ,8512,USA,4,"40.321021, -74.488254",36,Open,09-Jul-15,SC,thread
"Houston, TX",14820 North Freeway,Houston,TX,Houston_TX,77090,USA,6,"29.980741, -95.421697",31,Open,09-Jul-15,SC,thread
"Nashville, TN",1641 Westgate Circle,Brentwood,TN,Brentwood_TN,37027,USA,6,"35.969209, -86.804641",226,Open,08-Jul-15,SC,thread
"Grand Rapids, MI",5531 28th St SE,Grand Rapids,MI,Grand Rapids_MI,49512,USA,8,"42.915523, -85.533929",227,Open,25-Jun-15,SC,thread
"Baker City, OR",1 Sunridge Ln,Baker City,OR,Baker City_OR,97814,USA,8,"44.782849, -117.812422","1,044",Open,25-Jun-15,SC,thread
"Newburgh, NY",1217 Route 300,Newburgh,NY,Newburgh_NY,12550,USA,6,"41.499775, -74.071261",104,Open,23-Jun-15,SC,thread
"East Brunswick, NJ","Joyce Kilmer Service Area, New Jersey Turnpike",East Brunswick,NJ,East Brunswick_NJ,8816,USA,4,"40.41701, -74.444085",37,Open,19-Jun-15,SC,thread
"Buffalo, NY",4455 Transit Road,Buffalo,NY,Buffalo_NY,14221,USA,8,"42.968673, -78.696128",213,Open,11-Jun-15,SC,thread
"Mountain View, CA",1401 N Shoreline Blvd,Mountain View,CA,Mountain View_CA,94043,USA,12,"37.415344, -122.076607",6,Open,10-Jun-15,SC,thread
"San Diego, CA",10105 Pacific Heights Blvd,San Diego,CA,San Diego_CA,92121,USA,12,"32.902137, -117.193489",88,Open,08-Jun-15,SC,thread
"Cincinnati, OH","9111 Blue Ash, Rd.",Cincinnati,OH,Cincinnati_OH,45242,USA,8,"39.224429, -84.383415",258,Open,05-Jun-15,SC,thread
"Pendleton, OR",46510 Wildhorse Blvd,Pendleton,OR,Pendleton_OR,97801,USA,8,"45.648679, -118.678968",437,Open,28-May-15,SC,thread
"Cleveland, Tesla Service Center",5180 Mayfield Road,Lyndhurst,OH,Lyndhurst_OH,44124,USA,1,"41.519027, -81.493345",314,Open,09-May-15,SC,thread
"Marathon, FL",9400 Overseas Highway,Marathon,FL,Marathon_FL,33050,USA,4,"24.725172, -81.051135",1,Open,02-May-15,SC,thread
"Tucumcari, NM",2624 South Adams St,Tucumcari,NM,Tucumcari_NM,88401,USA,6,"35.153963, -103.722539","1,253",Open,21-Apr-15,SC,thread
"Syracuse, NY","439 Electronics Parkway,",Liverpool,NY,Liverpool_NY,13088,USA,8,"43.102516, -76.187475",123,Open,16-Apr-15,SC,thread
"Mobile, AL",3201 Airport Blvd,Mobile,AL,Mobile_AL,36606,USA,8,"30.675347, -88.11901",6,Open,16-Apr-15,SC,thread
"St. Charles, MO",2021 Zumbehl Rd,St. Charles,MO,St. Charles_MO,63303,USA,5,"38.782139, -90.532862",149,Open,15-Apr-15,SC,thread
"Perry, OK",2812 Fir St,Perry,OK,Perry_OK,73077,USA,6,"36.289315, -97.325935",330,Open,15-Apr-15,SC,thread
